timer,timestamp,HR,X,Y,Z,TEMP,BVP,EDA,event,meanCenteredEDA,medianCenteredEDA,meanCenteredHR,medianCenteredHR,meanCenteredTEMP,medianCenteredTEMP
0.25,2022-01-09 18:21:30.250,1.0,-89.0,-3.0,-16.0,31.25,-71.49,0.021779,83,-0.07868366187500014,-0.026903000000000003,-73.43623645833422,-63.379999999999995,-2.145606249999979,-1.3800000000000026
0.5,2022-01-09 18:21:30.500,1.0,-55.0,-5.0,-31.0,31.25,-76.44,0.02306,83,-0.07740266187500014,-0.025622000000000002,-73.43623645833422,-63.379999999999995,-2.145606249999979,-1.3800000000000026
0.75,2022-01-09 18:21:30.750,1.0,-57.0,23.0,-14.0,31.25,79.75,0.021779,83,-0.07868366187500014,-0.026903000000000003,-73.43623645833422,-63.379999999999995,-2.145606249999979,-1.3800000000000026
1.0,2022-01-09 18:21:31.000,1.0,-62.0,33.0,4.0,31.25,-96.46,0.019217,83,-0.08124566187500014,-0.029465,-73.43623645833422,-63.379999999999995,-2.145606249999979,-1.3800000000000026
1.25,2022-01-09 18:21:31.250,53.0,-32.0,-30.0,30.0,31.25,-170.56,0.021779,83,-0.07868366187500014,-0.026903000000000003,-21.43623645833422,-11.379999999999995,-2.145606249999979,-1.3800000000000026
1.5,2022-01-09 18:21:31.500,53.0,-42.0,40.0,51.0,31.25,-899.29,0.021779,83,-0.07868366187500014,-0.026903000000000003,-21.43623645833422,-11.379999999999995,-2.145606249999979,-1.3800000000000026
1.75,2022-01-09 18:21:31.750,53.0,-64.0,-1.0,-10.0,31.25,145.43,0.020498,83,-0.07996466187500013,-0.028184000000000004,-21.43623645833422,-11.379999999999995,-2.145606249999979,-1.3800000000000026
2.0,2022-01-09 18:21:32.000,53.0,-67.0,-5.0,-20.0,31.19,600.43,0.021779,83,-0.07868366187500014,-0.026903000000000003,-21.43623645833422,-11.379999999999995,-2.2056062499999776,-1.4400000000000013
2.25,2022-01-09 18:21:32.250,60.0,-65.0,1.0,-10.0,31.19,-229.51,0.020498,83,-0.07996466187500013,-0.028184000000000004,-14.436236458334221,-4.3799999999999955,-2.2056062499999776,-1.4400000000000013
2.5,2022-01-09 18:21:32.500,60.0,-64.0,10.0,-16.0,31.19,50.55,0.020498,83,-0.07996466187500013,-0.028184000000000004,-14.436236458334221,-4.3799999999999955,-2.2056062499999776,-1.4400000000000013
2.75,2022-01-09 18:21:32.750,60.0,-61.0,-8.0,-9.0,31.19,-60.1,0.020498,83,-0.07996466187500013,-0.028184000000000004,-14.436236458334221,-4.3799999999999955,-2.2056062499999776,-1.4400000000000013
3.0,2022-01-09 18:21:33.000,60.0,-57.0,-18.0,-18.0,31.31,-85.62,0.021779,83,-0.07868366187500014,-0.026903000000000003,-14.436236458334221,-4.3799999999999955,-2.08560624999998,-1.3200000000000038
3.25,2022-01-09 18:21:33.250,63.67,-62.0,-9.0,-15.0,31.31,7.44,0.021779,83,-0.07868366187500014,-0.026903000000000003,-10.76623645833422,-0.7099999999999937,-2.08560624999998,-1.3200000000000038
3.5,2022-01-09 18:21:33.500,63.67,-53.0,-10.0,20.0,31.31,38.68,0.021779,83,-0.07868366187500014,-0.026903000000000003,-10.76623645833422,-0.7099999999999937,-2.08560624999998,-1.3200000000000038
3.75,2022-01-09 18:21:33.750,63.67,-55.0,-13.0,24.0,31.31,-113.99,0.019217,83,-0.08124566187500014,-0.029465,-10.76623645833422,-0.7099999999999937,-2.08560624999998,-1.3200000000000038
4.0,2022-01-09 18:21:34.000,63.67,-63.0,-23.0,13.0,31.29,12.08,0.021779,83,-0.07868366187500014,-0.026903000000000003,-10.76623645833422,-0.7099999999999937,-2.1056062499999797,-1.3400000000000034
4.25,2022-01-09 18:21:34.250,61.5,-56.0,-19.0,21.0,31.29,42.51,0.019217,83,-0.08124566187500014,-0.029465,-12.936236458334221,-2.8799999999999955,-2.1056062499999797,-1.3400000000000034
4.5,2022-01-09 18:21:34.500,61.5,-60.0,-22.0,26.0,31.29,-58.25,0.021779,83,-0.07868366187500014,-0.026903000000000003,-12.936236458334221,-2.8799999999999955,-2.1056062499999797,-1.3400000000000034
4.75,2022-01-09 18:21:34.750,61.5,-55.0,-26.0,24.0,31.29,-69.59,0.021779,83,-0.07868366187500014,-0.026903000000000003,-12.936236458334221,-2.8799999999999955,-2.1056062499999797,-1.3400000000000034
5.0,2022-01-09 18:21:35.000,61.5,-46.0,-30.0,31.0,31.27,84.9,0.020498,83,-0.07996466187500013,-0.028184000000000004,-12.936236458334221,-2.8799999999999955,-2.1256062499999793,-1.360000000000003
5.25,2022-01-09 18:21:35.250,68.6,-44.0,-30.0,31.0,31.27,32.77,0.021779,83,-0.07868366187500014,-0.026903000000000003,-5.836236458334227,4.219999999999999,-2.1256062499999793,-1.360000000000003
5.5,2022-01-09 18:21:35.500,68.6,-50.0,-27.0,29.0,31.27,-46.59,0.021779,83,-0.07868366187500014,-0.026903000000000003,-5.836236458334227,4.219999999999999,-2.1256062499999793,-1.360000000000003
5.75,2022-01-09 18:21:35.750,68.6,-37.0,-24.0,46.0,31.27,89.41,0.019217,83,-0.08124566187500014,-0.029465,-5.836236458334227,4.219999999999999,-2.1256062499999793,-1.360000000000003
6.0,2022-01-09 18:21:36.000,68.6,-44.0,-27.0,41.0,31.31,-186.38,0.024341,83,-0.07612166187500014,-0.024341,-5.836236458334227,4.219999999999999,-2.08560624999998,-1.3200000000000038
6.25,2022-01-09 18:21:36.250,66.5,-45.0,-39.0,24.0,31.31,145.08,0.020498,83,-0.07996466187500013,-0.028184000000000004,-7.936236458334221,2.1200000000000045,-2.08560624999998,-1.3200000000000038
6.5,2022-01-09 18:21:36.500,66.5,-46.0,-33.0,31.0,31.31,25.15,0.02306,83,-0.07740266187500014,-0.025622000000000002,-7.936236458334221,2.1200000000000045,-2.08560624999998,-1.3200000000000038
6.75,2022-01-09 18:21:36.750,66.5,-47.0,-34.0,29.0,31.31,-41.56,0.02306,83,-0.07740266187500014,-0.025622000000000002,-7.936236458334221,2.1200000000000045,-2.08560624999998,-1.3200000000000038
7.0,2022-01-09 18:21:37.000,66.5,-46.0,-33.0,30.0,31.31,169.99,0.02306,83,-0.07740266187500014,-0.025622000000000002,-7.936236458334221,2.1200000000000045,-2.08560624999998,-1.3200000000000038
7.25,2022-01-09 18:21:37.250,67.14,-46.0,-34.0,31.0,31.31,-54.73,0.020498,83,-0.07996466187500013,-0.028184000000000004,-7.296236458334221,2.760000000000005,-2.08560624999998,-1.3200000000000038
7.5,2022-01-09 18:21:37.500,67.14,-45.0,-33.0,30.0,31.31,-123.28,0.024341,83,-0.07612166187500014,-0.024341,-7.296236458334221,2.760000000000005,-2.08560624999998,-1.3200000000000038
7.75,2022-01-09 18:21:37.750,67.14,-39.0,-36.0,36.0,31.31,31.79,0.024341,83,-0.07612166187500014,-0.024341,-7.296236458334221,2.760000000000005,-2.08560624999998,-1.3200000000000038
8.0,2022-01-09 18:21:38.000,67.14,-42.0,-35.0,33.0,31.31,-79.76,0.024341,83,-0.07612166187500014,-0.024341,-7.296236458334221,2.760000000000005,-2.08560624999998,-1.3200000000000038
8.25,2022-01-09 18:21:38.250,67.62,-41.0,-38.0,32.0,31.31,-416.93,0.02306,83,-0.07740266187500014,-0.025622000000000002,-6.816236458334217,3.240000000000009,-2.08560624999998,-1.3200000000000038
8.5,2022-01-09 18:21:38.500,67.62,-43.0,-37.0,33.0,31.31,79.74,0.02306,83,-0.07740266187500014,-0.025622000000000002,-6.816236458334217,3.240000000000009,-2.08560624999998,-1.3200000000000038
8.75,2022-01-09 18:21:38.750,67.62,-43.0,-37.0,32.0,31.31,395.92,0.024341,83,-0.07612166187500014,-0.024341,-6.816236458334217,3.240000000000009,-2.08560624999998,-1.3200000000000038
9.0,2022-01-09 18:21:39.000,67.62,-42.0,-38.0,32.0,31.33,417.56,0.021779,83,-0.07868366187500014,-0.026903000000000003,-6.816236458334217,3.240000000000009,-2.0656062499999805,-1.3000000000000043
9.25,2022-01-09 18:21:39.250,67.78,-42.0,-37.0,33.0,31.33,11.43,0.02306,83,-0.07740266187500014,-0.025622000000000002,-6.65623645833422,3.4000000000000057,-2.0656062499999805,-1.3000000000000043
9.5,2022-01-09 18:21:39.500,67.78,-42.0,-37.0,33.0,31.33,-102.61,0.021779,83,-0.07868366187500014,-0.026903000000000003,-6.65623645833422,3.4000000000000057,-2.0656062499999805,-1.3000000000000043
9.75,2022-01-09 18:21:39.750,67.78,-41.0,-36.0,32.0,31.33,-148.29,0.02306,83,-0.07740266187500014,-0.025622000000000002,-6.65623645833422,3.4000000000000057,-2.0656062499999805,-1.3000000000000043
10.0,2022-01-09 18:21:40.000,67.78,-44.0,-37.0,32.0,31.29,-469.58,0.021779,83,-0.07868366187500014,-0.026903000000000003,-6.65623645833422,3.4000000000000057,-2.1056062499999797,-1.3400000000000034
10.25,2022-01-09 18:21:40.250,67.9,-42.0,-37.0,32.0,31.29,-372.98,0.020498,83,-0.07996466187500013,-0.028184000000000004,-6.536236458334216,3.5200000000000102,-2.1056062499999797,-1.3400000000000034
10.5,2022-01-09 18:21:40.500,67.9,-42.0,-39.0,31.0,31.29,58.17,0.02306,83,-0.07740266187500014,-0.025622000000000002,-6.536236458334216,3.5200000000000102,-2.1056062499999797,-1.3400000000000034
10.75,2022-01-09 18:21:40.750,67.9,-43.0,-38.0,33.0,31.29,251.64,0.02306,83,-0.07740266187500014,-0.025622000000000002,-6.536236458334216,3.5200000000000102,-2.1056062499999797,-1.3400000000000034
11.0,2022-01-09 18:21:41.000,67.9,-42.0,-40.0,33.0,31.27,-50.14,0.02306,83,-0.07740266187500014,-0.025622000000000002,-6.536236458334216,3.5200000000000102,-2.1256062499999793,-1.360000000000003
11.25,2022-01-09 18:21:41.250,68.0,-33.0,-43.0,32.0,31.27,257.26,0.02306,83,-0.07740266187500014,-0.025622000000000002,-6.436236458334221,3.6200000000000045,-2.1256062499999793,-1.360000000000003
11.5,2022-01-09 18:21:41.500,68.0,-33.0,-39.0,20.0,31.27,-3.75,0.021779,83,-0.07868366187500014,-0.026903000000000003,-6.436236458334221,3.6200000000000045,-2.1256062499999793,-1.360000000000003
11.75,2022-01-09 18:21:41.750,68.0,-66.0,-38.0,16.0,31.27,-73.05,0.02306,83,-0.07740266187500014,-0.025622000000000002,-6.436236458334221,3.6200000000000045,-2.1256062499999793,-1.360000000000003
