,sleep,fowg,wtshdiss,badperson,eat_public,eat_worry,anxiety,worthless,restrict,desirethin,overvalwtsh,reject,mistakes,highstand,iuc,saa,intrus_thought,fearloc,bodydiss,ineffective,food_intrus,guilty,shame,sad,si,thought_death,scared,feelfat,tired,agitated,relax,urge_restrict,stress,skipmeal,foodrules,vomit,laxdiur,binge,bodycheck,impulse,exercise,compulsion,avoid_food,selfharm,hunger_anx,smallportion,drink_public,avoid_emo,avoid_sit,emo_overwhelm,eat_anx,rumination,heartrace,physsens_eat,attn_others,worryoverwhelm,physsens,socialanx,sens_body,ridthoughts,memories,chewspit
HR_Mean,0.112962913936063,-0.11192684209292098,-0.06281429733001999,-0.012991212276837989,0.1961496499858865,-0.1501005741112399,-0.21572022654746795,0.05415843543714761,0.10875543056999565,0.009667008169462513,-0.06535275995846143,-0.013277521065082185,0.2167205335701827,0.13524140805580717,0.005229720095025129,0.17502942890099404,0.10526582288943492,0.06304634665208288,-0.15264855859131019,0.004300124168105203,-0.273236783516334,0.08218053008523592,-0.03919044168148786,-0.23851414655747502,,,-0.1479346432154701,-0.056654960695325926,-0.06395876530902987,-0.041804625544207906,0.02389699578980691,-0.13394584214483618,-0.15751388348234296,0.02227351702098596,-0.04612835427180071,-0.0453331897059988,-0.004827887212762646,-0.017645627117705273,0.11712894447640705,0.013424928222856205,0.07191643987128872,,0.20653490383509376,0.119042732573362,-0.26370923019582393,0.02055447005861177,0.058887779784132704,0.008422366314754279,0.04169185165288521,0.018855494152002064,-0.015695277450131967,0.10638140259557925,0.14203085974224475,0.16054627979211678,0.17970096107903077,-0.18730295377299336,0.02075336428631693,0.15989761118337906,-0.0826687771742283,,0.04535033988380352,0.13786472140363237
HR_Minimum,-0.014758653838376093,-0.03527359914937465,-0.06740089656572688,-0.0676786741620386,0.06486389858279219,-0.21201638170359052,-0.015075679149582199,0.14407510186508102,-0.053421833775431034,-0.05969223084387349,-0.3230278274671302,0.03737793248582406,-0.2531785849887973,0.06405543499954716,-0.11270086101978133,-0.0828683265493442,0.1093137247122326,0.08826568676232302,-0.16716658366972975,-0.03848565926696172,-0.23274882702142097,0.16407331516368528,-0.07833391000667426,-0.07014445343667916,,,-0.09733959126040072,0.05766930196041116,-0.14537294050716862,0.02611026335941218,0.040566364786594526,-0.15836379311441806,-0.009301986990166758,0.0827921055490779,0.052137339807239065,-0.19068871326122921,-0.4478997601193694,-0.17668223304367986,0.1190285380417226,-0.11664048352069765,-0.004450088601771259,,0.25481672353903495,0.1248500935571162,-0.018725268504966544,0.0661670591334186,-0.30630493007474985,0.010901424237455937,-0.7569295341699928,0.03552951370931229,-0.04435814718051478,0.09653046556074169,0.10347567533965928,0.18531545434475644,-0.0756819098744288,-0.042288821933929605,-0.694262939447849,-0.24982093615305578,-0.1250118611982441,,-0.751207291392398,0.1865551550844866
HR_Stdev,-0.01602648662655303,-0.05805318455770076,-0.03057257368533484,0.14126639824074727,-0.016300118832143582,0.06715512502041909,-0.2266776661449528,0.012607577906734085,0.08513233493649425,0.046830842192747635,0.24611974927898533,-0.0627571089521749,0.042418402294986134,0.21915812925632172,0.08431438679280269,0.11045462105171763,-0.03277052548091482,0.2328947743829533,-0.11332798325190986,0.11505964695552126,0.07664096414717146,-0.05855809469681166,-0.013155370988198859,-0.1387381943367973,,,0.11592942904813121,-0.2360655392689817,0.09351391592317182,-0.02642915327371406,0.14458526511392386,0.021066388904885772,-0.23780914738697695,0.03617909123872964,-0.13762337388963888,0.1701264969629461,0.09105626666481965,0.0380982670469701,0.043879806154984775,0.01124353005797988,0.20390329770295154,,0.024268314588596282,-0.05673156442168203,-0.05918387480810507,-0.10400988986522763,0.07919556110774091,-0.026468225849673184,0.1839388564364142,-0.0777581675609972,0.06980041328400724,-0.047774789646114105,0.15876816399455987,-0.16403754861982425,-0.011770760308948466,-0.19842602646937568,0.14735252570283328,0.10026743346059562,-0.07656264129142536,,0.1822529853662079,-0.19808716015213773
HR_RMS,0.10473630891621662,-0.1097979040692794,-0.060775688713361496,-0.0016378278286884767,0.18593421640914826,-0.14094989226609422,-0.22563091583747727,0.05348626218180495,0.11013215401343358,0.013828884411946735,-0.045559345859263765,-0.01585478698719311,0.2130390629127797,0.14609711552798463,0.009625772318188168,0.1760184098909632,0.09752983584917992,0.07636181836270133,-0.15997245804795301,0.01480805367656564,-0.25557960850227635,0.07426670927201731,-0.04094765849806282,-0.24134859185388668,,,-0.13403700483287406,-0.07518962334458257,-0.05388879171603197,-0.04087111846812554,0.03744185120648929,-0.12633912266437616,-0.16925105763597634,0.02401117400126278,-0.0537281244423427,-0.032037873381074694,0.0002008943136685267,-0.01641755639771717,0.11344334195409447,0.01331914465595834,0.08271682227363802,,0.20107732867282815,0.10902927752667983,-0.2568264302559653,0.012420570317351784,0.05993471781659956,0.004847677560088014,0.054631755271132995,0.01143863936449334,-0.013850358074026037,0.09731243216884797,0.14805093242913364,0.1389376920033961,0.17163801362757702,-0.19299236334742853,0.03129491337220124,0.15967530587470696,-0.08674834471488496,,0.05815689600838027,0.11705351989665212
HR_MAD,-0.009416432921153423,-0.06496702549037044,-0.0374726821495274,0.09804821814171125,-0.020014878205250712,0.06915182101723796,-0.2330881339592286,0.015149011167824642,0.07589020523028286,0.04830042747410323,0.23175420246988962,-0.05754253941654968,0.03600568607087653,0.20996392935397246,0.06128632920296938,0.11916788482097275,-0.028609928993614423,0.21952267174385778,-0.14050351860036206,0.13071277811389895,0.059853560724614535,-0.041560563943459236,0.000837666577274891,-0.12296257541248816,,,0.014419163824765246,-0.24814642925805147,0.05825508600037338,-0.022425611490089526,0.13413325981661461,0.02514941163438626,-0.22695532900452636,0.023491600718475406,-0.11860342545359515,0.11334334230285248,0.10322082131463364,0.08199545310076427,0.06626479503376445,0.014804202257759356,0.21623855648261323,,0.02231081807304372,-0.061082286699685094,-0.07050768836740456,-0.12091245501124823,0.07689907384659586,-0.0386407746475492,0.19080363659981656,-0.06471134978958332,0.05742899578388828,-0.034581928874491484,0.16881481881700292,-0.14839098972791206,-0.021455837274453743,-0.18115710965802798,0.1557166576596141,0.09893663972666406,-0.078375641057879,,0.1888342450297752,-0.2066628796422615
HR_MAV,-0.026008757614794292,-0.05911158907847121,-0.03631478465760472,0.11386470893222563,0.10740019952805047,-0.071263525327514,-0.2726204795728846,0.0637921223675542,0.08885806475426185,0.018617737516125783,0.10084414785878625,-0.062422508532934066,0.15220412684794996,0.2354672142831064,0.0241936031291003,0.1543761570673473,0.018894067674712148,0.23474585902967027,-0.16025287046988002,0.03512642627014069,-0.03273357030602635,-0.002585861589533714,-0.07831246304080516,-0.22609068422858425,,,0.14288975330630882,-0.1942442288548374,0.06574714884234167,-0.052793835162674115,0.14350277942170903,-0.10323996360996347,-0.2314776890720407,0.04662470001024692,-0.13447654107792256,0.17986089476446132,0.013290354589004015,-0.03243492713657404,0.06766970098251522,0.00812113303831001,0.2002865030098567,,0.09483741498329987,0.040978660884694464,-0.13683714954305157,-0.07290343975563005,0.09113621009742444,-0.029084427136450836,0.1470912609493144,-0.05900670694862688,0.024660052067009986,0.0006454911236902432,0.1954507026115305,-0.11297981982325792,0.11165978115933667,-0.27106043873732505,0.1086898381897869,0.14573261646586946,-0.10831242086473793,,0.14994521909644,-0.0797866850556341
HR_Median,0.15634320939645563,-0.14396647236890686,-0.0848836277523309,-0.012075885391821872,0.17813201665871858,-0.152608073025394,-0.17808278006347103,0.010894025910694447,0.13592784040062017,-0.026814521206117777,-0.12484346101354887,-0.0077000410257773415,0.15203710090069394,0.06430583500995064,0.019563941492707654,0.11822538771275784,0.13911097249939844,0.004761482571350842,-0.0868240282248089,-0.010064672895454027,-0.2919744409450789,0.05217538903063342,0.018351552919549423,-0.1983688761481206,,,-0.16782553504053946,-0.07854171703813849,-0.11286740804406394,-0.026029803747550706,-0.04439639319863788,-0.11300262452381098,-0.11314127472019019,0.01276022717685992,-0.06492655485678116,-0.11730725028599286,-0.031236271880847367,-0.016877388628922418,0.09939350570164936,0.012075373020653783,0.08361390278572846,,0.21357080227182512,0.10345799882731514,-0.2711482266196436,0.0657894234979998,0.029606195884796033,0.0689057311726511,-0.05862636679404892,0.004914306111491851,0.025623836519755704,0.13928150564071987,0.0814883776183826,0.2212841571286907,0.1374472792924047,-0.11950789416701074,-0.057001057458619435,0.13821639398582047,-0.025976696608328704,,-0.056954400587514276,0.1966268281047445
HR_P25,0.15569816809163184,-0.09647433965018984,-0.04875677183596252,-0.07024928118870173,0.24192541720557798,-0.18006890482591084,-0.088401030741791,0.0273267750554276,0.10916911425188654,0.004619045765241753,-0.1908800816843151,0.016224412338456666,0.2456155208039985,0.024255639763650666,0.0033831027262104774,0.14147502910934587,0.1521388849730847,-0.05973834727956616,-0.0631882351879054,-0.05960863430445871,-0.3343447537043429,0.11764748102490534,-0.05504511595406663,-0.23684511589113572,,,-0.14233050220370125,0.10658540575989837,-0.09383038301878081,-0.07382735168667674,-0.06546002618198805,-0.1418041837006957,-0.04218119719300752,0.020462130096575527,0.019068376176848856,-0.1131164687255868,-0.037107326065245305,-0.08646899755184645,0.07194289154964854,0.0020680659908308076,-0.03964821652656012,,0.2308310753115039,0.19604953299859545,-0.2699851639344305,0.12994938739496473,0.02926015192176563,0.05873828229484446,-0.03560519995190465,0.07551170307395015,-0.04487338796158423,0.1327762225658944,0.040019303026365444,0.2923692897973923,0.23163679154527989,-0.12592312757536095,-0.04285652219641663,0.09715902509342005,-0.036175255944230385,,-0.03032270944965767,0.3010180558030738
HR_P75,0.09954000750770221,-0.11461385777214801,-0.061704484242451854,-0.04306495657665322,0.13159910761635477,-0.09811571258852136,-0.2391094154877318,0.03505683009979467,0.09921815718838041,0.026054332516144935,0.0159502647866056,-0.032161500289839155,0.16766080550075332,0.15617271608014258,0.010460128666695745,0.1772279794200737,0.07109467504017686,0.09780294379420001,-0.18662248742103996,0.06504779025483617,-0.22744085443738035,0.0656665887469721,-0.004095585353579761,-0.2124028885654488,,,-0.168601463154627,-0.11206635976174624,-0.06448085625592019,-0.02758732584667272,0.05808595093462211,-0.0859792299760906,-0.1830581168963776,0.0357278278386087,-0.06121948356789239,-0.047064738192038394,0.04735199806873734,0.04637709971604543,0.12162358518752495,0.03189682726106223,0.10915214778584288,,0.17399592190462096,0.06613756518596164,-0.2377602435060779,-0.016048086331182994,0.062403723677505935,-0.01152372917639046,0.10361316977225878,0.007897363711067723,0.004525253295140771,0.08911287099312729,0.1717910651336351,0.10799492503612798,0.11190939837003612,-0.18671140698499322,0.07601181398277186,0.1400894137493746,-0.07404075216430103,,0.1058568601927687,0.03485785301958487
EDA_Mean,-0.03945971828207826,0.1575966739028936,0.11205168275466375,-0.03430392448448945,0.3507001997758503,0.03695721885000323,0.18673069079510438,-0.053026254841276536,0.027875005905864413,0.09594674769662623,0.13482895992259825,-0.015472596102490844,-0.014422495581477842,-0.05509506339517226,-0.05609929160666453,0.0496324675536467,0.05031728130688391,0.10080742189179485,0.048753117894563144,-0.05850171765235311,0.05246703075628666,0.15855718618302533,-0.037507385273819284,0.028522822906602595,,,0.0463149309215131,0.0485450765905333,0.05755976893479816,-0.033709678815394634,0.33532090871393794,-0.07839643114568888,-0.014921397780668958,0.08528915553086117,0.08471128917775911,0.025393247466165367,-0.05881821346777593,-0.04203866617240711,0.272651814279245,-0.12284822631055765,0.39056927840561373,,0.0563323404537862,-0.11063659767103132,0.08201760203791865,-0.0777979522299856,0.09632867171563385,0.060867487636612004,0.018727301791323647,-0.019409547588666035,0.05509388744169583,-0.043526700409783806,-0.06956715241583633,0.22014876983134737,0.07677714321848038,-0.07800126553698494,0.01699572785557775,0.09303491933511482,-0.02807315943270061,,0.017903932965851795,-0.04327317949598245
