,sleep,fowg,wtshdiss,badperson,eat_public,eat_worry,anxiety,worthless,restrict,desirethin,overvalwtsh,reject,mistakes,highstand,iuc,saa,intrus_thought,fearloc,bodydiss,ineffective,food_intrus,guilty,shame,sad,si,thought_death,scared,feelfat,tired,agitated,relax,urge_restrict,stress,skipmeal,foodrules,vomit,laxdiur,binge,bodycheck,impulse,exercise,compulsion,avoid_food,selfharm,hunger_anx,smallportion,drink_public,avoid_emo,avoid_sit,emo_overwhelm,eat_anx,rumination,heartrace,physsens_eat,attn_others,worryoverwhelm,physsens,socialanx,sens_body,ridthoughts,memories,chewspit
HR_Mean,-0.046421805888223915,-0.07845028351014892,-0.22024618656807868,0.014515460103545007,0.2302153087603643,-0.12103962714036795,0.09255788560590364,,0.11884123024304048,-0.14303139873866094,-0.08795539976318074,0.1810718715760043,-0.06938261497537532,-0.007391557909230936,-0.06680813470553079,0.19045522662230374,0.19625762737656982,-0.12847127341392234,-0.15532369563698573,-0.1294520848152483,0.028172107732771425,-0.06331054609078239,0.14906795981705107,-0.09632372095843256,-0.0933461752670315,0.013745166173485859,-0.0938227277731961,-0.21197984085667804,-0.2970914321624528,-0.18064362616462432,0.1268908870754858,-0.22829190620849688,0.11824821272275447,-0.0683196666341435,0.07464317680115393,0.10965841409792063,,,0.002850109169999671,0.2544238498560404,0.142463211352005,0.11198235761896708,0.17787474346672297,,0.14809947514677985,0.08294447367849303,-0.03231330134861114,0.03159634798325639,,0.03237303548750411,-0.015433951552313896,,,0.1371379149824699,-0.1271794969938049,0.0624871495963053,0.09521121689827583,,0.1812955117423111,0.08278025635260532,-0.09264803971431614,
HR_Minimum,-0.08677224844969178,0.026507310116584727,-0.1150960620879717,-0.05515669634215903,0.1371363830590429,-0.05873337337635568,-0.012995073016294644,,0.08206802204866474,-0.045204619141775954,0.019738575397731575,0.10776008179082733,0.032979729683101706,0.036546559250317814,-0.009764452182901957,0.19562734900445247,0.11408165163483265,-0.06883621514554836,-0.05186822228290661,-0.04093743152417705,0.038560780418192116,-0.11842143579587182,0.16089667161925394,-0.08657467416119091,-0.07400885283579724,-0.05165491805693898,-0.044644512475403526,-0.0955261198199189,-0.26058515090186385,-0.08940807058629456,0.030211303149332052,-0.1569450245263761,0.027491688362699496,0.011897398195301336,-0.0005578816848464196,0.10746806146357259,,,0.0888055811537783,0.1874925025358167,0.19208603484219805,0.16130268545762755,0.16949547657753275,,0.08980032434939515,0.1302970060054666,-0.02552585987133361,0.04247760330551374,,0.00962787379323368,-0.0048372017256404,,,0.06502987043064899,-0.15945792230134528,0.10608701456043523,0.015471892658772097,,0.11380260730314176,0.09815850921437057,-0.09170121809026645,
HR_Stdev,0.08115006523379123,-0.09420085982766666,-0.17780993357373484,0.16547416524911066,0.17490917728975705,-0.11358142823420338,0.11038906454740241,,0.048245848078932556,-0.0966907759689787,-0.18631771874066286,0.09788341674847158,-0.10749681912788188,-0.008593141316429898,-0.02684572716924058,0.048567997856874254,0.17912963217524241,-0.03973753193399312,-0.13459692426918685,-0.09457795407339835,-0.038709245794849044,0.03577613785539462,0.018541817581761287,-0.04236448331293944,-0.019479909134410188,0.04231297888796672,-0.07577064329088394,-0.15167137263517272,-0.17892363906404687,-0.1209229400425966,0.09231404530484866,-0.13313229522803288,0.10413412930882866,-0.089607121604018,-0.028788365938286983,0.018024103583287054,,,-0.04633598071944306,0.15753154106262354,0.07027412560677727,-0.03720253134316881,0.028371045051561128,,0.08765366457529931,-0.008367452378503204,0.058653727893841955,0.008760500977561038,,0.10417474737082452,0.003759057798261845,,,0.13346132365720462,-0.05407573428702407,0.038089376748359015,0.11433913310824005,,0.05302617174925559,-0.0029691447948585812,-0.03790251807019008,
HR_RMS,-0.03727402908337247,-0.07754572254023216,-0.21904403197790193,0.024403216689014778,0.22898610054434318,-0.12261994480029575,0.0946316351787362,,0.11412585268078662,-0.14108046215630354,-0.09569369516859103,0.17786213393027092,-0.07245735337584479,-0.007358364174442596,-0.06346682804141064,0.1843918583178519,0.19882875771640174,-0.1228317913698526,-0.15450506156375837,-0.1293524544312255,0.024330085771391067,-0.05929012745966715,0.14287880059435007,-0.09537705625327586,-0.09133689920325405,0.014831474241597862,-0.09438466212559367,-0.2098886375885438,-0.2927306762916497,-0.18041451237920642,0.12543650284427904,-0.22405269078948672,0.1186993851466558,-0.06907924936320387,0.06804665227346192,0.1052018773285717,,,0.001651504947182573,0.25239978125741885,0.14069604192161364,0.10497026117533362,0.1709037906991447,,0.1455795397648715,0.07834860105969375,-0.02587836127248028,0.03012613305102402,,0.0371219496390717,-0.015090823366898768,,,0.1374824922353234,-0.12407401801222114,0.06112340139711191,0.09751981515518046,,0.17433038606936893,0.07822674955635542,-0.09172489446926975,
HR_MAD,0.07571769297820934,-0.10428606495093064,-0.19525671705381772,0.16248997306947713,0.17695631501694484,-0.08288824786515853,0.13826158913437106,,0.05274228666941979,-0.12048536652370911,-0.18191516031503482,0.10751131484675978,-0.10641316901562389,0.00868469006318982,-0.014285630019943167,0.0624985320292825,0.20254532880379678,-0.0390244748744505,-0.14768225179831576,-0.08941851887397718,-0.03210584957393793,0.02400438561861558,0.013880676465779816,-0.0271917499272814,-0.03330605072796547,0.039037480613973156,-0.0682428905700948,-0.16221871574942187,-0.18767733756347926,-0.10499492888523419,0.11990151156374848,-0.13555018453857534,0.12945809056411606,-0.09955992371736604,-0.03801411327879351,0.035298657003214245,,,-0.044102011049160256,0.17320778479050572,0.08388780871660727,-0.035299445722614425,0.05084348359230883,,0.0897125091776491,-0.0073568857549469605,0.028084834297409295,0.02024388886284497,,0.11267307530220874,0.004171385780131097,,,0.12498151726380582,-0.05123585328121321,0.04905636590140714,0.10078329012125055,,0.06332879288495688,0.007378345440468479,-0.032694382954885054,
HR_MAV,0.027109289269829313,-0.05918724872133924,-0.19076838563164583,0.10597819587887479,0.193972646930474,-0.16971038838044122,0.05621332471986829,,0.06149229278870656,-0.08543195032936642,-0.1376428537804253,0.15557814626293948,-0.08509051318763443,-0.02790971592256347,-0.04934194187490136,0.09568251040073883,0.14240924742765146,-0.072683658400831,-0.11369631711293332,-0.11384118668123303,-0.03454022446387738,-0.015185859423121856,0.08747414587391078,-0.08813895155529206,-0.0167935660285894,0.0076881615802389825,-0.10460327129222341,-0.17334964493299077,-0.2577062497583937,-0.16361447273886,0.08137855056356486,-0.1912399633596793,0.08402048859982451,-0.08463654228039033,-0.002581362076700812,0.031406326534601,,,-0.021016776811159568,0.20487821709618242,0.09501310931177671,0.019523382724467936,0.05804113695031888,,0.12034307997350382,0.04716015571435164,0.049340040583273494,0.04960864351313904,,0.10503007780219632,0.016109326852501757,,,0.19940880210622558,-0.12166775110936696,0.07003084236163414,0.14577861682004664,,0.0664257011475422,0.022156155933527266,-0.08178577065556125,
HR_Median,-0.0466158900035381,-0.08002920769481305,-0.21228862495419604,-0.011844051117300945,0.22876234558757783,-0.10613707776506809,0.10658723800352245,,0.16088187563301506,-0.14086774746336503,-0.07503832953492053,0.1730269953727717,-0.07405989859911417,0.0031665336203447947,-0.08616496906469924,0.19649600722741822,0.17609605067632225,-0.1494181711470134,-0.15708367688802055,-0.15072553024174265,0.05169656672492473,-0.06796468044344023,0.16714034040413933,-0.10347255044824105,-0.11183021887870606,0.035117797481116875,-0.09566593707912549,-0.20667911429827204,-0.2713812086182729,-0.20337300229121283,0.14986236622701335,-0.21668661877873813,0.12344850175753344,-0.04070726940797161,0.13621394645680548,0.13026663807410238,,,-0.01815188887936173,0.2230275734012406,0.14397598072283696,0.14468591217940985,0.20761240684625726,,0.15298683335451913,0.07943883275316158,-0.058436839707217206,-0.00018633762776232424,,-0.015063417887812984,-0.021304016675076552,,,0.13769901197984818,-0.12043078909685351,0.022175913513390655,0.08937217524677722,,0.23175224568670727,0.06437497497137983,-0.07519319887212017,
HR_P25,-0.11919465425495618,-0.06361582799644218,-0.18727844296297314,-0.08051002515996562,0.20860654163849027,-0.10950559066310069,0.029071622027525727,,0.09465047606394451,-0.13401285163207993,-0.017850777345671837,0.18129207859407595,-0.03009885199801524,-0.04244334760405858,-0.08306396602922055,0.21910223776529938,0.13070508551847038,-0.15079437032620926,-0.1306393048416697,-0.10843360184315645,0.032355647309277265,-0.08776260958339374,0.18215107458052152,-0.11109199719900749,-0.09038832630386516,-0.006266042456234422,-0.09017039292602144,-0.20060704714726788,-0.30312226851929264,-0.1756826774659514,0.08871043514126861,-0.22746083717730622,0.066025905960963,-0.057479785308907586,0.11701904954746986,0.10073924606497486,,,0.022000693334238906,0.248933942998625,0.11283459011885019,0.1697151601524751,0.19777003299971538,,0.1415003687513943,0.11036463721292865,-0.04143813876674262,0.04107942821638644,,-0.012559495405270422,-0.032966167690995356,,,0.11544808037910224,-0.1295556397733483,0.05425245339905775,0.06635308867071191,,0.19466237498252947,0.12451833884791363,-0.1349189208724788,
HR_P75,-0.05555804462212618,-0.11828568704740766,-0.2620350455738225,0.033949342623843214,0.24518187671048514,-0.09165619964563272,0.1320276364877015,,0.12063411284944206,-0.19030659769605168,-0.1030773834166899,0.20750730748942825,-0.08570018179270926,0.016986085157200043,-0.06828126840773523,0.19221502652862102,0.2482198595188951,-0.13112546559801225,-0.19182966571520682,-0.11871360080438739,0.033496344394397956,-0.0771216788152317,0.12975646484001438,-0.07353970726729184,-0.09195620878729065,0.02574005380028817,-0.08257155475602687,-0.2426321477541187,-0.29496432742708334,-0.15470561124434729,0.1679203657770772,-0.24735999359715385,0.15669371836185195,-0.0996048630664831,0.06366334256277564,0.12113894290005217,,,-0.03112035125707686,0.26437839916671,0.1452516791370898,0.08832793444488184,0.19795885300384905,,0.16964398681461804,0.058573996948222906,-0.06748620153719463,0.05996021520510332,,0.0632207613338731,-0.001562094878772647,,,0.1425797982679655,-0.11381008040559906,0.07352842867795423,0.08033640276687518,,0.19176105154850778,0.0917625947293543,-0.07219025201337492,
EDA_Mean,-0.1394646656920225,-0.2040030418259521,-0.2952582297418657,-0.02607506402969451,0.17885522805151755,0.026561420220718616,0.1180487430944155,,0.13295097985346688,-0.26011156767464466,0.04474279314653563,0.3179891606947477,-0.17030973335765484,0.1305658224182396,-0.05592448753811473,0.297884778432461,0.026252895307387454,-0.17679477697005874,-0.1488734154366916,-0.038071672288224404,-0.12602019380108576,-0.025517943487412,-0.011794067476631826,-0.0179484873648993,-0.010464085372067571,-0.01800093267362997,-0.0192855738827246,-0.12926378652270826,-0.11868466251237998,-0.03231806726648598,0.23472446835966704,-0.20166411215259533,0.025221109745157257,-0.24506195431110034,0.1454968927822958,0.030873558779597885,,,0.19969747552049108,0.11051127115731937,0.12820455194828756,-0.017585220138443724,0.18726643341837748,,0.18469930842726381,0.10700736120379638,-0.030014983753984384,0.20839378985719623,,-0.017275381638613398,0.0073136502729383365,,,0.26842430093748926,-0.031757229183998724,-0.01791463941500094,0.0516406213589066,,0.095868509370828,0.17666912591202527,-0.025645752540067096,
